name,category,location,budget
Amphitheatre of El Jem,Historical Site,El Jem,High
Medina of Tunis,Cultural Landmark,Tunis,Medium
Carthage,Historical Site,Carthage,High
Sidi Bou Said,Eco-tourism Spot,Sidi Bou Said,Medium
Chott el Jerid,Natural Landmark,Negev Desert,Low
Bardo National Museum,Museum,Tunis,High
Kairouan Mosque,Religious Site,Kairouan,Medium
Dougga,Historical Site,Thugga,Medium
Tozeur,Eco-tourism Spot,Tozeur,Medium
Nabeul,Cultural Landmark,Nabeul,Low
Sousse Medina,Cultural Landmark,Sousse,Medium
Cap Bon,Natural Landmark,Cap Bon,Low
Café des Nattes,Local Experience,Sidi Bou Said,Low
Ksar Ouled Soltane,Cultural Landmark,Medenine,Low
The Sahara,Eco-tourism Spot,Southern Tunisia,Medium
Kairouan's Aghlabid Basins,Historical Site,Kairouan,Low
The Great Mosque of Sfax,Religious Site,Sfax,Medium
Bulla Regia,Historical Site,Northwest Tunisia,Low
Tamerza,Eco-tourism Spot,Tamerza,Low
Hammamet Beaches,Natural Landmark,Hammamet,Medium
The Tunisian Sahara's Star Wars Filming Locations,Cultural Landmark,Southern Tunisia,Low
Matmata,Eco-tourism Spot,Matmata,Low
El Ghriba Synagogue,Religious Site,Djerba,Medium
Beni Mtir,Eco-tourism Spot,Northern Tunisia,Low
The National Museum of Carthage,Museum,Carthage,Medium
The Coastal Town of Mahdia,Cultural Landmark,Mahdia,Medium
Tunis Zoo,Family Activity,Tunis,Low
Djerba Explore Park,Cultural Experience,Djerba,Medium
Zaghouan Aqueduct,Historical Site,Zaghouan,Low
Takrouna,Cultural Landmark,Kairouan,Low
Caves of the Gabes,Natural Landmark,Gabes,Low
Oudna,Historical Site,Uthina,Low
Ain Draham,Eco-tourism Spot,Northern Tunisia,Low
Zriba Olia,Cultural Landmark,Zaghouan,Low
Chemtou,Historical Site,Jendouba,Low
Ksar Ghilane,Eco-tourism Spot,Southern Tunisia,Medium
El Kef,Cultural Landmark,El Kef,Low
Ichkeul National Park,Natural Landmark,Bizerte,Low
Bouhertma Dam,Natural Landmark,Northern Tunisia,Low
Oasis de Mides,Eco-tourism Spot,Tozeur,Medium
Korbus,Natural Landmark,Cap Bon,Low
Ksar Haddada,Cultural Landmark,Medenine,Low
The Cliffs of Korbous,Natural Landmark,Cap Bon,Low
Tabarka Port,Natural Landmark,Tabarka,Low
Ghar El Melh,Natural Landmark,Bizerte,Low
Selja Gorge,Eco-tourism Spot,Tozeur,Medium
Sbeitla Ruins,Historical Site,Kasserine,Low
Douiret Village,Cultural Landmark,Tataouine,Low
Oasis de Chebika,Natural Landmark,Tozeur,Medium
Maktar Roman Ruins,Historical Site,Siliana,Low
Haouaria Caves,Natural Landmark,Cap Bon,Low
